Fecha,Tmaxima,Tminima
2023-06-17,[26.64907],[17.22218]
2023-06-18,[28.898537],[18.004429]
2023-06-19,[27.222967],[16.732862]
2023-06-20,[28.97807],[16.997744]
2023-06-21,[27.418108],[17.99225]
2023-06-22,[26.058878],[17.704815]
2023-06-23,[27.800602],[18.617622]
2023-06-24,[28.638382],[18.10615]
2023-06-25,[26.350466],[16.045912]
2023-06-26,[26.532866],[16.055712]
2023-06-27,[27.18423],[16.407146]
2023-06-28,[28.10483],[17.011002]
2023-06-29,[28.849754],[18.147469]
2023-06-30,[27.260796],[17.698149]
2023-07-01,[29.253315],[17.07744]
2023-07-02,[28.818336],[18.5946]
2023-07-03,[27.902592],[15.99124]
2023-07-04,[25.410982],[17.74017]
2023-07-05,[27.930052],[18.554722]
2023-07-06,[26.811155],[17.731234]
2023-07-07,[25.968107],[17.476748]
2023-07-08,[28.146822],[17.399273]
2023-07-09,[28.121214],[15.834675]
2023-07-10,[26.039421],[16.741007]
2023-07-11,[28.996529],[16.489557]
2023-07-12,[27.163588],[16.806879]
2023-07-13,[29.571846],[16.661942]
2023-07-14,[25.079521],[17.351873]
2023-07-15,[28.650476],[16.895603]
2023-07-16,[27.077295],[16.334837]
2023-07-17,[28.672964],[15.933325]
2023-07-18,[29.003403],[16.065502]
2023-07-19,[26.18857],[18.190943]
2023-07-20,[29.159122],[16.266094]
2023-07-21,[29.343319],[16.02855]
2023-07-22,[25.04189],[16.56163]
2023-07-23,[27.40523],[17.062683]
2023-07-24,[28.891733],[18.053938]
2023-07-25,[26.274998],[15.977816]
2023-07-26,[29.135086],[16.567064]
2023-07-27,[29.124527],[17.216192]
2023-07-28,[26.464193],[16.781183]
2023-07-29,[25.970087],[18.055555]
2023-07-30,[27.181423],[17.227434]
2023-07-31,[27.787346],[17.791508]
2023-08-01,[24.671988],[16.36044]
2023-08-02,[26.722424],[17.408665]
2023-08-03,[27.812397],[15.838396]
2023-08-04,[28.560701],[16.023783]
2023-08-05,[27.648674],[15.95109]
2023-08-06,[28.58413],[17.808947]
2023-08-07,[26.590208],[18.209246]
2023-08-08,[26.012484],[18.639566]
2023-08-09,[26.575638],[18.66313]
2023-08-10,[27.557873],[17.097342]
2023-08-11,[28.763168],[16.548277]
2023-08-12,[25.501673],[18.635065]
2023-08-13,[29.126263],[16.802347]
2023-08-14,[26.365545],[18.25462]
2023-08-15,[29.039913],[18.223215]
2023-08-16,[25.743727],[17.090824]
2023-08-17,[28.21069],[18.51777]
2023-08-18,[27.232132],[18.509853]
2023-08-19,[26.60167],[16.923527]
2023-08-20,[26.365337],[16.350586]
2023-08-21,[28.969929],[16.11749]
2023-08-22,[28.119522],[17.609041]
2023-08-23,[28.856077],[18.427961]
2023-08-24,[24.694931],[17.360207]
2023-08-25,[26.54222],[17.675777]
2023-08-26,[29.48943],[17.924793]
2023-08-27,[26.443262],[16.51062]
2023-08-28,[26.735037],[16.906952]
2023-08-29,[26.33541],[17.613811]
2023-08-30,[26.17209],[18.259003]
2023-08-31,[27.809832],[17.237347]
2023-09-01,[28.644156],[18.05621]
2023-09-02,[26.963964],[18.465528]
2023-09-03,[28.31707],[18.26782]
2023-09-04,[24.792019],[17.816795]
2023-09-05,[29.179504],[18.051857]
2023-09-06,[29.065533],[16.378004]
2023-09-07,[26.967094],[15.874224]
2023-09-08,[26.380463],[17.382061]
2023-09-09,[26.490204],[18.578417]
2023-09-10,[26.126677],[18.49284]
2023-09-11,[26.801977],[18.54701]
2023-09-12,[27.063816],[17.493198]
2023-09-13,[27.753069],[17.287275]
2023-09-14,[26.469189],[17.878393]
2023-09-15,[29.463936],[17.274794]
2023-09-16,[29.180603],[17.285921]
2023-09-17,[28.287777],[18.036568]
2023-09-18,[28.709566],[18.364641]
2023-09-19,[29.565346],[18.596756]
2023-09-20,[28.717419],[15.865065]
2023-09-21,[26.604618],[15.897339]
2023-09-22,[26.033073],[18.649439]
2023-09-23,[24.893814],[17.572647]
2023-09-24,[26.45209],[16.605099]
2023-09-25,[28.8106],[17.31574]
2023-09-26,[28.20129],[16.941538]
2023-09-27,[26.831509],[17.35233]
2023-09-28,[27.655094],[16.292137]
2023-09-29,[29.510914],[15.950489]
2023-09-30,[28.370255],[17.735764]
